tunecache	0.9.1	v0.9.0-717-g64c90a27-dirty-debug-sm_61	cpu_arch=x86_64,gpu_arch=sm_61,cuda_version=9020	# Last updated Mon Nov 12 09:57:28 2018

          volume	name	aux	block.x	block.y	block.z	grid.x	grid.y	grid.z	shared_bytes	aux.x	aux.y	aux.z	aux.w	time	comment
      8x16x16x32	N4quda16WilsonDslashCudaI6short4S1_EE	policy,comm=0000,reconstruct=12,Xpay,topo=1111	32	1	1	1	1	1	0	1	0	0	0	7.64576e-05	# 1172.59 Gflop/s, 524.58 GB/s, tuning took 0.005368 seconds at Mon Nov 12 09:27:29 2018
      8x16x16x32	N4quda16WilsonDslashCudaI6short4S1_EE	policy,comm=0000,reconstruct=12,dagger,topo=1111	32	1	1	1	1	1	0	9	0	0	0	6.432e-05	# 1344.96 Gflop/s, 623.57 GB/s, tuning took 0.005658 seconds at Mon Nov 12 09:27:29 2018
      8x16x16x32	N4quda16WilsonDslashCudaI6short4S1_EE	policy,comm=0000,reconstruct=12,topo=1111	32	1	1	1	1	1	0	7	0	0	0	6.45216e-05	# 1340.75 Gflop/s, 621.62 GB/s, tuning took 0.004575 seconds at Mon Nov 12 09:27:29 2018
      8x16x16x32	N4quda16WilsonDslashCudaI6short4S1_EE	policy_kernel=interior,ghost=0000,comm=0000,reconstruct=12	32	1	1	2048	1	1	4469	7	0	0	0	6.656e-05	# 1299.69 Gflop/s, 602.58 GB/s, tuning took 0.038540 seconds at Mon Nov 12 09:27:29 2018
      8x16x16x32	N4quda16WilsonDslashCudaI6short4S1_EE	policy_kernel=interior,ghost=0000,comm=0000,reconstruct=12,Xpay	32	1	1	2048	1	1	0	7	0	0	0	7.68e-05	# 1167.36 Gflop/s, 522.24 GB/s, tuning took 0.039818 seconds at Mon Nov 12 09:27:29 2018
      8x16x16x32	N4quda16WilsonDslashCudaI6short4S1_EE	policy_kernel=interior,ghost=0000,comm=0000,reconstruct=12,Xpay,dagger	32	1	1	2048	1	1	1891	9	0	0	0	7.5776e-05	# 1183.14 Gflop/s, 529.30 GB/s, tuning took 0.040183 seconds at Mon Nov 12 09:27:29 2018
      8x16x16x32	N4quda16WilsonDslashCudaI6short4S1_EE	policy_kernel=interior,ghost=0000,comm=0000,reconstruct=12,dagger	32	1	1	2048	1	1	4916	1	0	0	0	6.5536e-05	# 1320.00 Gflop/s, 612.00 GB/s, tuning took 0.037434 seconds at Mon Nov 12 09:27:29 2018
      8x16x16x32	N4quda16WilsonDslashCudaI7double2S1_EE	policy,comm=0000,reconstruct=12,Xpay,dagger,topo=1111	32	1	1	1	1	1	0	7	0	0	0	0.000376925	# 237.85 Gflop/s, 400.60 GB/s, tuning took 0.027542 seconds at Mon Nov 12 09:27:29 2018
      8x16x16x32	N4quda16WilsonDslashCudaI7double2S1_EE	policy,comm=0000,reconstruct=12,Xpay,topo=1111	32	1	1	1	1	1	0	8	0	0	0	0.000374579	# 239.34 Gflop/s, 403.11 GB/s, tuning took 0.027683 seconds at Mon Nov 12 09:27:27 2018
      8x16x16x32	N4quda16WilsonDslashCudaI7double2S1_EE	policy,comm=0000,reconstruct=12,dagger,topo=1111	32	1	1	1	1	1	0	9	0	0	0	0.000356893	# 242.39 Gflop/s, 423.08 GB/s, tuning took 0.027195 seconds at Mon Nov 12 09:27:28 2018
